# 7 unique unit cell; 3 sub-lattice sites A,B,C; 2 orbitals dxz,dyz;
#   Rx  Ry  S1  S2  O1  O2  Re_t
    0   0   1   1   1   1   2.182
    0   0   1   1   2   2   0.055
    0   0   2   2   1   1   2.182
    0   0   2   2   2   2   0.055    
    0   0   3   3   1   1   2.182
    0   0   3   3   2   2   0.055
    0   0   1   2   1   1  -1.000
   -1   0   1   2   1   1  -1.000
    0   0   1   3   1   1  -1.000
    0  -1   1   3   1   1  -1.000
    0   0   2   3   1   1  -1.000
    1  -1   2   3   1   1  -1.000 
    0   0   1   2   2   2  -0.500
   -1   0   1   2   2   2  -0.500
    0   0   1   3   2   2  -0.500
    0  -1   1   3   2   2  -0.500
    0   0   2   3   2   2  -0.500
    1  -1   2   3   2   2  -0.500
    0   0   1   2   1   2  -0.002
    0   0   1   2   2   1  -0.002
   -1   0   1   2   1   2  -0.002
   -1   0   1   2   2   1  -0.002
    0   0   1   3   1   2  -0.002
    0   0   1   3   2   1  -0.002
    0  -1   1   3   1   2  -0.002
    0  -1   1   3   2   1  -0.002
    0   0   2   3   1   2  -0.002
    0   0   2   3   2   1  -0.002
    1  -1   2   3   1   2  -0.002
    1  -1   2   3   2   1  -0.002
    0   0   2   1   1   1  -1.000
    1   0   2   1   1   1  -1.000
    0   0   3   1   1   1  -1.000
    0   1   3   1   1   1  -1.000
    0   0   3   2   1   1  -1.000
   -1   1   3   2   1   1  -1.000
    0   0   2   1   2   2  -0.500
    1   0   2   1   2   2  -0.500
    0   0   3   1   2   2  -0.500
    0   1   3   1   2   2  -0.500
    0   0   3   2   2   2  -0.500
   -1   1   3   2   2   2  -0.500
    0   0   2   1   1   2  -0.002
    0   0   2   1   2   1  -0.002
    1   0   2   1   1   2  -0.002
    1   0   2   1   2   1  -0.002
    0   0   3   1   1   2  -0.002
    0   0   3   1   2   1  -0.002
    0   1   3   1   1   2  -0.002
    0   1   3   1   2   1  -0.002
    0   0   3   2   1   2  -0.002
    0   0   3   2   2   1  -0.002
   -1   1   3   2   1   2  -0.002
   -1   1   3   2   2   1  -0.002
